epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,26,0.6891734600067139,,0.8537938594818115,
1,49,,0.8125,,0.3717428147792816
1,53,0.8166472911834717,,0.39023056626319885,
2,80,0.8696158528327942,,0.3243643641471863,
3,99,,0.90625,,0.20416605472564697
3,107,0.8923166394233704,,0.2629464268684387,
4,134,0.906286358833313,,0.22366248071193695,
5,149,,0.890625,,0.1531292200088501
5,161,0.9144353866577148,,0.2048538625240326,
6,188,0.9109429717063904,,0.22493763267993927,
7,199,,0.9375,,0.17199303209781647
7,215,0.9365541338920593,,0.16145093739032745,
8,242,0.9365541338920593,,0.14788608253002167,
9,249,,0.953125,,0.1935020536184311
9,269,0.9295692443847656,,0.17027972638607025,
10,296,0.924912691116333,,0.18410339951515198,
11,299,,0.953125,,0.21999020874500275
11,323,0.9452852010726929,,0.12728001177310944,
12,349,,0.953125,,0.12441832572221756
12,350,0.9511059522628784,,0.12871767580509186,
13,377,0.955762505531311,,0.11007418483495712,
14,399,,0.984375,,0.027223896235227585
14,404,0.9627473950386047,,0.08792747557163239,
15,431,0.9534342288970947,,0.11751296371221542,
16,449,,0.859375,,0.24675798416137695
16,458,0.955762505531311,,0.1254497468471527,
17,485,0.9545983672142029,,0.11894118040800095,
18,499,,0.953125,,0.14593663811683655
18,512,0.9615832567214966,,0.1116248294711113,
19,539,0.9621652960777283,,0.09767229110002518,
20,549,,0.953125,,0.21026648581027985
20,566,0.965075671672821,,0.08226656168699265,
21,593,0.969150185585022,,0.08510405570268631,
22,599,,0.96875,,0.09398676455020905
22,620,0.9679860472679138,,0.08250649273395538,
23,647,0.9761350154876709,,0.06131640449166298,
24,649,,0.96875,,0.09386518597602844
24,674,0.9790453910827637,,0.043712981045246124,
25,699,,0.953125,,0.21785494685173035
25,701,0.969150185585022,,0.0904042199254036,
26,728,0.969150185585022,,0.07566559314727783,
27,749,,1.0,,0.02644558623433113
27,755,0.9837020039558411,,0.04961545020341873,
28,782,0.9662398099899292,,0.07827695459127426,
29,799,,0.984375,,0.04302392154932022
29,809,0.9883585572242737,,0.03605786710977554,
30,836,0.9772992134094238,,0.049662359058856964,
31,849,,0.96875,,0.04765607416629791
31,863,0.9761350154876709,,0.06839799880981445,
32,890,0.9912689328193665,,0.026696838438510895,
33,899,,1.0,,0.002932317089289427
33,917,0.9976717233657837,,0.009809141047298908,
34,944,0.9924330711364746,,0.026254640892148018,
35,949,,0.953125,,0.09645511209964752
35,971,0.9889406561851501,,0.022561384364962578,
36,998,0.9871944189071655,,0.026961255818605423,
37,999,,1.0,,0.004195265006273985
37,1025,0.9848661422729492,,0.03829340264201164,
38,1049,,1.0,,0.006671189796179533
38,1052,0.9866123199462891,,0.03998728469014168,
39,1079,0.9860302805900574,,0.04419178143143654,
40,1099,,1.0,,0.013715645298361778
40,1106,0.9837020039558411,,0.03655608743429184,
41,1133,0.9842840433120728,,0.04088727384805679,
42,1149,,0.984375,,0.05191373452544212
42,1160,0.9860302805900574,,0.03356011211872101,
43,1187,0.9930151104927063,,0.023671533912420273,
44,1199,,1.0,,0.0025622465182095766
44,1214,0.9965075850486755,,0.014441965147852898,
45,1241,0.9866123199462891,,0.030459493398666382,
46,1249,,0.984375,,0.01814652979373932
46,1268,0.9732246994972229,,0.06791973114013672,
47,1295,0.99068683385849,,0.030939439311623573,
48,1299,,0.953125,,0.16367293894290924
48,1322,0.9866123199462891,,0.03492891415953636,
49,1349,,1.0,,0.001033817883580923
49,1349,0.9930151104927063,,0.015512464568018913,
